l,Y
4.051E-07,1.8437
4.076E-07,1.8417
4.354E-07,1.8268
4.958E-07,1.8066
5.459E-07,1.7933
5.768E-07,1.7880
5.785E-07,1.7875
6.720E-07,1.7737
