V,I,r
283.7,1.676,0.03885
207.1,1.254,0.044615
285.7,1.62,0.04096
234.9,1.034,0.06149
189.3,1.017,0.057245
209.7,1.017,0.058635
267.2,1.328,0.047945
281.8,1.227,0.05607
236.5,1.351,0.044745
