t[s],v[um/s],r[um],t[s],v[um/s],q[C] (e-19),t[s],v[um/s],q[C] (e-19)
3.94,126.9,1.086,1.12,446.4,23.654,2.27,220.3,23.59
4.69,106.6,0.992,1.23,406.5,20.827,2.37,211.0,22.931
3.86,129.5,1.097,1.17,427.4,22.308,2.32,215.5,23.25
4.92,101.6,0.968,1.3,384.6,19.275,2.18,229.4,24.235
5.08,98.4,0.952,1.32,378.8,18.864,2.35,212.8,23.059
