t[s],v[um/s],r[um],t[s],v[um/s],q[C] (e-19),t[s],v[um/s],q[C] (e-19)
22.3,22.4,0.435,0.78,641.0,13.691,1.15,434.8,10.137
19.86,25.2,0.464,0.71,704.2,15.091,1.18,423.7,9.891
21.2,23.6,0.447,0.87,574.7,12.222,1.21,413.2,9.659
22.64,22.1,0.432,0.9,555.6,11.799,1.17,427.4,9.973
23.66,21.1,0.421,0.81,617.3,13.166,1.2,416.7,9.736
