t[s],v[um/s],r[um],t[s],v[um/s],q[C] (e-19),t[s],v[um/s],q[C] (e-19)
10.18,49.1,0.662,1.55,322.6,12.506,1.57,318.5,17.206
9.67,51.7,0.68,1.34,373.1,14.846,1.72,290.7,15.918
9.47,52.8,0.688,1.6,312.5,12.038,1.64,304.9,16.576
9.04,55.3,0.704,1.51,331.1,12.9,2.11,237.0,13.429
9.1,54.9,0.702,1.53,326.8,12.7,1.75,285.7,15.686
