t[s],v[um/s],r[um],t[s],v[um/s],q[C] (e-19),t[s],v[um/s],q[C] (e-19)
13.93,35.9,0.561,1.22,409.8,13.591,1.21,413.2,16.21
14.33,34.9,0.552,1.23,406.5,13.472,1.2,416.7,16.337
15.22,32.9,0.535,1.41,354.6,11.593,1.16,431.0,16.855
14.8,33.8,0.543,1.23,406.5,13.472,1.33,375.9,14.86
14.36,34.8,0.552,1.31,381.7,12.574,1.23,406.5,15.968
