t[s],v[um/s],r[um],t[s],v[um/s],q[C] (e-19),t[s],v[um/s],q[C] (e-19)
19.45,25.7,0.469,1.34,373.1,12.396,1.42,352.1,13.476
20.23,24.7,0.459,1.2,416.7,13.951,1.55,322.6,12.424
19.51,25.6,0.468,1.24,403.2,13.47,1.56,320.5,12.349
19.97,25.0,0.462,1.39,359.7,11.918,1.38,362.3,13.84
18.36,27.2,0.484,1.19,420.2,14.076,1.38,362.3,13.84
