t[s],v[um/s],r[um],t[s],v[um/s],q[C] (e-19),t[s],v[um/s],q[C] (e-19)
17.38,28.8,0.497,5.1,98.0,2.456,7.23,69.2,3.04
18.01,27.8,0.487,4.03,124.1,3.315,5.8,86.2,3.599
22.13,22.6,0.436,3.67,136.2,3.712,7.39,67.7,2.991
25.88,19.3,0.4,4.74,105.5,2.703,6.12,81.7,3.451
27.94,17.9,0.384,5.29,94.5,2.341,7.45,67.1,2.971
