t[s],v[um/s],r[um],t[s],v[um/s],q[C] (e-19),t[s],v[um/s],q[C] (e-19)
14.13,35.4,0.555,1.95,256.4,9.639,2.9,172.4,9.159
13.08,38.2,0.578,1.85,270.3,10.248,2.67,187.3,9.812
12.37,40.4,0.595,1.82,274.7,10.441,2.75,181.8,9.571
13.81,36.2,0.562,1.6,312.5,12.098,2.95,169.5,9.032
15.45,32.4,0.53,1.7,294.1,11.292,2.47,202.4,10.474
