t[s],v[um/s],r[um],t[s],v[um/s],q[C] (e-19),t[s],v[um/s],q[C] (e-19)
22.44,22.3,0.435,4.24,117.9,3.149,5.86,85.3,3.544
20.46,24.4,0.456,4.12,121.4,3.364,5.81,86.1,3.832
22.32,22.4,0.436,3.96,126.3,3.431,6.09,82.1,3.45
22.95,21.8,0.429,4.03,124.1,3.306,7.01,71.3,3.009
19.55,25.6,0.468,4.15,120.5,3.391,5.85,85.5,3.97
