t[s],v[um/s],r[um],t[s],v[um/s],q[C] (e-19),t[s],v[um/s],q[C] (e-19)
10.83,46.2,0.641,3.81,131.2,4.321,10.71,46.7,4.8
10.64,47.0,0.647,3.37,148.4,5.203,9.99,50.1,4.974
10.45,47.8,0.652,3.69,135.5,4.542,9.85,50.8,5.01
11.01,45.4,0.635,3.75,133.3,4.429,10.35,48.3,4.882
10.38,48.2,0.655,3.56,140.4,4.793,10.33,48.4,4.887
