t[s],v[um/s],r[um],t[s],v[um/s],q[C] (e-19),t[s],v[um/s],q[C] (e-19)
21.5,23.3,0.443,2.4,208.3,6.46,4.77,104.8,4.634
19.64,25.5,0.465,2.61,191.6,5.869,4.83,103.5,4.588
17.0,29.4,0.502,2.39,209.2,6.492,4.29,116.6,5.052
18.77,26.6,0.476,2.52,198.4,6.11,4.27,117.1,5.07
19.9,25.1,0.461,2.45,204.1,6.312,4.82,103.7,4.595
