senso,Dw[rad/s],Dd[mm]
A,4920,0.22
A,5284,0.24
A,4650,0.23
A,5303,0.25
A,5265,0.25
A,5460,0.25
A,5353,0.25
O,4995,-0.23
O,5378,-0.24
O,4650,-0.21
O,5473,-0.25
O,5108,-0.24
O,4964,-0.22
O,9004,-0.4
A,5498,0.27
A,9079,0.41
A,5410,0.26
A,9142,0.43
O,5435,-0.25
O,4901,-0.24
O,8796,-0.39
O,8935,-0.4
O,8866,-0.41
O,8652,-0.39
O,8853,-0.42
O,8922,-0.43
O,8746,-0.43
O,5322,-0.25
O,4939,-0.22
O,4939,-0.25
O,5115,-0.25
A,5052,0.26
