c
2.95
2.91
2.67
2.80
2.78
2.88
2.83
2.87
2.96
2.92
2.89
2.81
2.98
2.97
2.69
2.92
2.75
2.81
2.87
2.70
2.98
2.95
2.86
2.93
2.78
2.74
2.69
2.81
2.96
2.61
2.70
2.57
